Address,Area,Year,Rooms,Price,Elevator,Parking,Warehouse
مسعودیه,53,1395,1,32.452,1,0,1
شارق شرقی,96,1401,2,48.958,1,1,1
پونک,72,1380,1,51.388,0,0,1
سعادت‌آباد,180,1401,3,183.333,1,1,1
اباذر,160,1401,3,74.937,1,1,1
کوی فردوس,118,1400,3,66.525,1,1,1
سرو آزاد,112,1401,2,53.571,1,1,1
استخر,100,1401,2,57.0,1,1,1
پاسداران,95,1389,2,104.21,1,1,1
قیطریه,102,1385,2,106.372,1,1,1
جنت‌آباد شمالی,88,1383,2,65.909,0,1,1
چیتگر,102,1401,2,16.127,1,1,1
هروی,117,1401,2,94.017,1,1,1
چیتگر,130,1401,3,17.5,1,1,1
چیتگر,100,1401,2,17.5,1,1,1
جنت‌آباد مرکزی,80,1392,2,66.25,1,1,1
هروی,101,1401,2,102.97,1,1,1
ستارخان,80,1398,2,78.75,1,1,1
شهرک غرب,138,1397,3,92.753,1,1,1
سعادت‌آباد,285,1401,4,175.438,1,1,1
سعادت‌آباد,164,1397,3,181.707,1,1,1
شهرک غرب,140,1385,3,107.142,1,1,1
شهرک فردوس,57,1380,1,29.824,0,0,1
استاد معین,70,1400,2,55.714,1,1,1
شاهین,67,1386,2,56.716,0,0,1
اباذر,122,1382,3,54.098,0,1,1
پونک,81,1383,2,57.407,0,1,1
پونک,75,1380,2,71.333,0,1,1
المهدی,84,1386,2,53.571,0,1,1
پونک,71,1388,2,62.676,0,1,1
پونک,57,1401,1,100.35,1,1,1
کوی فردوس,80,1396,2,76.25,1,1,1
دریاچه شهدای خلیج فارس,133,1401,3,63.007,1,1,1
جنت‌آباد مرکزی,56,1396,1,91.071,0,1,0
کاظم‌آباد,103,1396,2,80.0,1,1,1
دریاچه شهدای خلیج فارس,106,1394,2,60.377,1,1,1
پونک,82,1392,2,101.219,1,1,1
جنت‌آباد جنوبی,100,1386,3,74.0,1,1,1
ارم,80,1400,2,84.375,1,1,1
سازمان برنامه,162,1390,3,80.246,1,1,1
شهرک شهید باقری,82,1385,2,42.682,0,0,1
چیتگر,100,1401,2,12.0,1,1,1
هروی,120,1401,2,95.0,1,1,1
پاسداران,135,1401,2,103.703,1,1,1
شهرک ابوذر,85,1392,2,17.647,0,0,1
الهیه,295,1391,4,169.491,1,1,1
شهرک غرب,130,1400,2,133.076,1,1,1
الهیه,275,1391,3,167.272,1,1,1
شهر زیبا,78,1387,2,65.384,1,1,1
شهرک ژاندارمری,116,1401,2,79.31,1,1,1
کوی فردوس,97,1400,2,70.103,1,1,1
شهر زیبا,87,1396,2,59.77,1,1,1
جنت‌آباد شمالی,76,1399,2,89.078,1,1,1
پونک,49,1396,1,91.836,1,1,1
کامرانیه,310,1401,4,225.806,1,1,1
تهران‌سر,118,1401,2,14.0,1,1,1
پونک,90,1380,2,75.555,0,1,1
مبارک‌آباد بهشتی,60,1398,1,22.0,1,0,1
مینا,57,1380,1,43.859,0,0,1
ولنجک,245,1396,3,200.0,1,1,1
زعفرانیه,220,1387,3,160.0,1,1,1
ولنجک,160,1400,3,195.0,1,1,1
محمودیه,245,1400,3,170.0,1,1,1
گاندی,75,1400,1,102.666,1,1,0
ونک,82,1400,1,101.219,1,1,1
قلهک,90,1381,2,91.111,1,1,0
پونک,66,1394,2,95.0,1,1,1
باغ فیض,165,1394,3,72.727,1,1,1
نیاوران,250,1395,4,130.0,1,1,1
نیاوران,220,1401,3,150.0,1,1,1
